Updated Species Name (from Wilson & Reeder Mammal Species of the World)	Species Name (from original article)	Order	Brain Volume	Brain Volume Standard Deviation	Brain Mass (g)	Brain Mass Standard Deviation	Body Mass (g)	Body Mass Standard Deviation	Sex	No. Individuals	Age Class	Source	Notes
Pogonomys macrourus	Pogonomys mollipilosus	Rodentia			1.43		73.9		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Pogonomys sylvestris	Pogonomys sylvestris	Rodentia			1.13		41.2		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Pongo pygmaeus	Pongo pygmaeus	Primates			322		32659		F	1	Adult	Hrdlicka 1925	
Pongo pygmaeus	Pongo pygmaeus	Primates			326		32659		F	1	Adult	Hrdlicka 1925	
Pongo pygmaeus	Pongo pygmaeus	Primates			291		34019		F	1	Adult	Hrdlicka 1925	
Pongo pygmaeus	Pongo pygmaeus	Primates			267		34474		F	1	Adult	Hrdlicka 1925	Weighed about 6 months after laying in preservative (10% formalin)
Pongo pygmaeus	Pongo pygmaeus	Primates			279		35834		F	1	Adult	Hrdlicka 1925	
Pongo pygmaeus	Pongo pygmaeus	Primates			274.5		36287		F	1	Adult	Hrdlicka 1925	
Pongo pygmaeus	Pongo pygmaeus	Primates			283		36288		F	1	Adult	Hrdlicka 1925	
Pongo pygmaeus	Pongo pygmaeus	Primates			304		36741		F	1	Adult	Hrdlicka 1925	
Pongo pygmaeus	Pongo pygmaeus	Primates			344		37195		F	1	Adult	Hrdlicka 1925	
Pongo pygmaeus	Pongo pygmaeus	Primates			340.5		39917		F	1	Adult	Hrdlicka 1925	
Pongo pygmaeus	Pongo pygmaeus	Primates			287.5		44452		F	1	Adult	Hrdlicka 1925	
Pongo pygmaeus	Pongo pygmaeus	Primates			347.5		49895		M	1	Adult	Hrdlicka 1925	
Pongo pygmaeus	Pongo pygmaeus	Primates			371		54431		M	1	Adult	Hrdlicka 1925	
Pongo pygmaeus	Pongo pygmaeus	Primates			368		63503		M	1	Adult	Hrdlicka 1925	
Pongo pygmaeus	Pongo pygmaeus	Primates			326		72575		M	1	Adult	Hrdlicka 1925	
Pongo pygmaeus	Pongo pygmaeus	Primates			422		79379		M	1	Adult	Hrdlicka 1925	
Pongo pygmaeus	Pongo pygmaeus	Primates			384		83915		M	1	Adult	Hrdlicka 1925	
Pongo pygmaeus	Pongo pygmaeus	Primates			359		86183		M	1	Adult	Hrdlicka 1925	
Pongo pygmaeus	Pongo pygmaeus	Primates			395		90720		M	1	Adult	Hrdlicka 1925	
Pongo pygmaeus	Pongo pygmaeus	Primates	406.9	28.7	421.5484	29.7332	73500	11900	M&F	4	Adult	Rilling 1999	"4 males, 1 female; Age class estimated from body mass"
Pongo pygmaeus	Pongo pygmaeus	Primates			360.0		38500		F	1	Adult	Sherwood data/this study	Estimated age of species: 31y; Body mass estimated from Silva & Downing 1995
Pongo pygmaeus	Pongo pygmaeus	Primates			398.3		74700		M	1	Adult	Sherwood data/this study	Estimated age of species: 11.5y; Body mass estimated from Silva & Downing 1995
Pongo pygmaeus	Pongo pygmaeus	Primates			394.1		38500		F	1	Adult	Sherwood data/this study	Estimated age of species: 23y; Body mass estimated from Silva & Downing 1995
Pongo pygmaeus	Pongo pygmaeus	Primates			287.0		74700		M	1	Adult	Sherwood data/this study	Estimated age of species: 33.7y; Body mass estimated from Silva & Downing 1995
Pongo pygmaeus	Pongo pygmaeus	Primates			397.8		74700		M	1	Adult	Sherwood data/this study	Estimated age of species: 39y; Body mass estimated from Silva & Downing 1995
Pontoporia blainvillei	Pontoporia blainvillei	Cetartiodactyla			NA		NA		NA	NA	NA	Marino 2004	
Potamogale velox	Potamogale velox	Afrosoricida			4.16		660		NA	2	Adult	Stephan 1981	Age class estimated from body mass
Potamogale velox	Potamogale velox	Afrosoricida			3.931		640		NA	1	Adult	Stolzenburg 1989	Age class estimated from body mass
Potorous platyops	Potorous platyops	Diprotodontia	6.3		6.5268		800		NA	1	NA	Ashwell 2007	
Potorous tridactylus	Potorous tridactylus	Diprotodontia	9.53	0.72	9.87308		1283	309	NA	12	Not Adult	Ashwell 2007	Age class estimated from body mass
Potos flavus	Potos caudiv.	Carnivora			35.1		1863		F	1	Adult	Count 1947 (Hrdlicka 1925)	
Potos flavus	Potos flavus aztecus	Carnivora			31.05		2620		F	1	Adult	Crile & Quiring 1940	Age class estimated from body mass
Potos flavus	Cercoleptes caudivolvulus	Carnivora			33.9		1200		NA	1	Juvenile	Warncke 1908	
Potos flavus	Cercoleptes caudivolvulus	Carnivora			28.8		2675		NA	1	Juvenile	Warncke 1908	
Praomys daltoni	Praomys daltoni	Rodentia			0.68		35		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Praomys morio	Praomys morio	Rodentia			0.84		46.5		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Praomys tullbergi	Praomys tulbergi	Rodentia			0.86		37.2		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Procavia capensis	Procavia capensis	Hyracoidea			19.1		NA		M		Not Adult	Sherwood data/this study	Estimated age of species: 1y 2m
Procavia capensis	Procavia capensis	Hyracoidea			18.2		NA		F		Not Adult	Sherwood data/this study	
Procavia capensis	Procavia capensis	Hyracoidea			20		1930		NA	1	Adult	Warncke 1908	
Procavia capensis	Procavia capensis	Hyracoidea			14.8		600		NA	1	Not Adult	Warncke 1908	Age class estimated from body mass
Procavia capensis	Procavia capensis	Hyracoidea			19.4		2275		F	1	Adult	Welker & Carlson 1976	
Procavia capensis	Procavia capensis	Hyracoidea			19		2760		M	1	Adult	Welker & Carlson 1976	
Procyon lotor	Procyon lotor pumilis	Carnivora			33.55		2226		F	1	Not Adult	Crile & Quiring 1940	Age class estimated from body mass
Procyon lotor	Procyon lotor pumilis	Carnivora			40.5		4536		F	1	Adult	Crile & Quiring 1940	Age class estimated from body mass
Procyon lotor	Procyon lotor pumilis	Carnivora			42.7		5216		M	1	Adult	Crile & Quiring 1940	Age class estimated from body mass
Procyon lotor	Procyon lotor pumilis	Carnivora			40		5175		NA	1	Adult	Crile & Quiring 1940	
Procyon lotor	Procyon lotor	Carnivora			27.4		4309		NA	1	Adult	Glendenning 1998	
Procyon lotor	Procyon lotor	Carnivora	43		44.548		NA		NA	1	NA	Haug 1987	
Procyon lotor	Procyon lotor	Carnivora			37.5		4100		F	1	Not Adult	Pirlot & Jiao	Age class estimated from body mass
Proechimys semispinosus	Proechinmys semispinosus	Rodentia			3		450		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Proechimys semispinosus	Protoxerus stangeri	Rodentia			10.74		639.5		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Propithecus deckenii	Propithecus coronatus	Primates			31.6		NA		NA	1	Adult	Warncke 1908	
Propithecus verreauxi	Propithecus verreauxi	Primates			26.7		3480		NA	2	Adult	Stephan 1981	Age class estimated from body mass
Pseudantechinus bilarni	Parantechinus bilarni	Dasyuromorphia	0.65	0.06	0.6734		29.4	3.2	NA	7	NA	Ashwell 2007	
Pseudantechinus macdonnellensis	Parantechinus macdonnellensis	Dasyuromorphia	0.49	0.04	0.50764		24	3.1	NA	5	NA	Ashwell 2007	
Pseudantechinus roryi	Parantechinus roryi	Dasyuromorphia	0.42		0.43512		16.6		NA	1	NA	Ashwell 2007	
Pseudocheirus peregrinus	Pseudocheirus peregrinus	Diprotodontia	4.52	0.77	4.68272		526	211	NA	15	Not Adult	Ashwell 2007	Age class estimated from body mass
Pseudocheirus peregrinus	Pseudocheirus occidentalis	Diprotodontia	5.58	0.18	5.78088		759	27	NA	3	Adult	Ashwell 2007	Age class estimated from body mass
Pseudochirops albertisii	Pseudochirops albertisii	Diprotodontia	4.68	0.5	4.84848		713	293	NA	3	Not Adult	Ashwell 2007	Age class estimated from body mass
Pseudochirops archeri	Pseudochirops archeri	Diprotodontia	5.87	0.28	6.08132		678	146	NA	6	Not Adult	Ashwell 2007	Age class estimated from body mass
Pseudochirops corinnae	Pseudochriops corinnae	Diprotodontia	5.36	0.48	5.55296		943	312	NA	8	NA	Ashwell 2007	
Pseudochirops coronatus	Pseudochirops coronatus	Diprotodontia	5.13	0.32	5.31468		1500		NA	2	NA	Ashwell 2007	
Pseudochirops cupreus	Pseudochirops cupreus	Diprotodontia	7.54	0.53	7.81144		1021	95	NA	5	Not Adult	Ashwell 2007	Age class estimated from body mass
Pseudochirulus canescens	Pseudochirulus canescens	Diprotodontia	1.8	0.51	1.8648		141	140	NA	4	NA	Ashwell 2007	
Pseudochirulus caroli	Pseudochirulus caroli	Diprotodontia	3.2		3.3152		440		NA	1	NA	Ashwell 2007	
Pseudochirulus forbesi	Pseudochirulus forbesi	Diprotodontia	3.36	0.49	3.48096		523	199	NA	6	NA	Ashwell 2007	
Pseudochirulus herbertensis	Pseudochirulus herbertensis	Diprotodontia	4.32	0.25	4.47552		900	62	NA	3	NA	Ashwell 2007	
Pseudochirulus mayeri	Pseudochirulus mayeri	Diprotodontia	2.01	0.2	2.08236		125	30	NA	9	NA	Ashwell 2007	
Pseudochirulus schlegeli	Pseudochirulus schlegeli	Diprotodontia	2.8	0.28	2.9008		246	4	NA	2	NA	Ashwell 2007	
Pseudomys australis	Pseudomys australis	Rodentia			1.16		50		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Pseudorca crassidens	Pseudorca crassidens	Cetartiodactyla	3650		3781.4		NA		NA	1	NA	Haug 1987	
Pseudorca crassidens	Pseudorca	Cetartiodactyla			4307		2000000		F	1	Adult	Ridgway et al. 1987	Body mass estimated from Silva & Downing 1995
Pteromys volans	Sciuropterus volans	Rodentia			1.92		64		NA	NA	NA	Count 1947 (Brummelkamp 1939b) 	
Pteromyscus pulverulentus	Pteromyscus pulverulentus	Rodentia			3.55		400		M&F	NA	Adult	Mace 1981	"Body mass estimated from Silva & Downing 1995; Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Pteronotus davyi	Pteronotus davyi	Chiroptera			0.31		10.6		NA	1	Adult	Pirlot & Stephan 1970	
Pteropus lylei	Pteropus lylei	Chiroptera			5.65		283.5		M	1	Adult	"Stephan, Pirlot, & Schneider 1974"	
Pteropus lylei	Pteropus lylei	Chiroptera			6.1		284		M	1	Adult	"Stephan, Pirlot, & Schneider 1974"	
Pteropus lylei	Pteropus lylei	Chiroptera			6.19		296		F	1	Adult	"Stephan, Pirlot, & Schneider 1974"	
Pteropus lylei	Pteropus lylei	Chiroptera			5.92		307		F	1	Adult	"Stephan, Pirlot, & Schneider 1974"	
Pteropus lylei	Pteropus lylei	Chiroptera			6.33		322		M	1	Adult	"Stephan, Pirlot, & Schneider 1974"	
Pteropus lylei	Pteropus lylei	Chiroptera			6.3		324		F	1	Adult	"Stephan, Pirlot, & Schneider 1974"	
Pteropus lylei	Pteropus lylei	Chiroptera			6.41		383.5		M	1	Adult	"Stephan, Pirlot, & Schneider 1974"	
Pteropus rufus	Pteropus Edwardsi	Chiroptera			10.01		382		NA	1	Adult	Warncke 1908	
Pteropus rufus	Pteropus Edwardsi	Chiroptera			7		414		NA	1	Adult	Warncke 1908	
Pteropus rufus	Pteropus Edwardsi	Chiroptera			6.2		325		NA	1	Adult	Warncke 1908	
Pteropus rufus	Pteropus Edwardsi	Chiroptera			6.3		405		NA	1	Adult	Warncke 1908	
Pteropus rufus	Pteropus Edwardsi	Chiroptera			7.5		323		NA	1	Adult	Warncke 1908	
Pteropus rufus	Pteropus Edwardsi	Chiroptera			7.3		380		NA	1	Adult	Warncke 1908	
Pteropus rufus	Pteropus Edwardsi	Chiroptera			6.8		395		NA	1	Adult	Warncke 1908	
Puma concolor	Felis concolor	Carnivora			154		54432		M	1	Adult	Count 1947 (Hrdlicka 1925)	
Puma concolor	Felis bangsi costaricensis	Carnivora			129		25960		M	1	Juvenile	Crile & Quiring 1940	
Pusa caspica	Phoca caspica	Carnivora			160		55000		F	1	Adult	Bininda-Emonds 2000	
Pusa caspica	Phoca caspica	Carnivora			165		70500		M	1	Adult	Bininda-Emonds 2000	
Pusa hipida	Phoca hispida	Carnivora			185		66500		F	1	Adult	Bininda-Emonds 2000	
Pusa hipida	Phoca hispida	Carnivora			207.5		71670		M	1	Adult	Bininda-Emonds 2000	
Pusa hipida	Phoca hispida	Carnivora			251		39460		M	3	NA	Crile & Quiring 1940	
Pusa hispida	Phoca hispida	Carnivora			255		39680		F	2	Not Adult	Crile & Quiring 1940	Age class estimated from body mass
Pusa sibirica	Phoca sibirica	Carnivora			185		89500		M	1	Adult	Bininda-Emonds 2000	
Pusa sibirica	Phoca sibirica	Carnivora			190		89500		F	1	Adult	Bininda-Emonds 2000	
Pygathrix nemaeus	Pygathrix nemaeus	Primates			77		7500		NA	1	Adult	Stephan 1981	Age class estimated from body mass
Rangifer tarandus	Rangifer arcticus arcticus	Cetartiodactyla			285		62140		M	1	NA	Crile & Quiring 1940	
Rangifer tarandus	Rangifer arcticus arcticus	Cetartiodactyla			306		128470		M	2	NA	Crile & Quiring 1940	
Rangifer tarandus	Rangifer arcticus arcticus	Cetartiodactyla			278		71700		F	1	Adult	Crile & Quiring 1940	Age class estimated from body mass
Raphicerus campestris	Raphicerus campestris neumanni	Cetartiodactyla			49.5		8620		M	2	Not Adult	Crile & Quiring 1940	Age class estimated from body mass
Rattus exulans	Rattus exulans	Rodentia			0.89		60.3		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Rattus fuscipes	Rattus assimilis	Rodentia			1.75		108.5		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Rattus fuscipes	Rattus fuscipes	Rodentia			1.63		135.5		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Rattus lutreolus	Rattus lutreolus	Rodentia			1.64		92.7		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Rattus morotaiensis	Rattus rajah	Rodentia			1.92		134.1		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Rattus niobe	Rattus niobe	Rodentia			1.1		42.1		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Rattus nitidus	Rattus ruber	Rodentia			1.7		101		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Rattus norvegicus	Epimys norwegicus	Rodentia			8.75		465		NA	1	Adult	Warncke 1908	
Rattus norvegicus	Epimys norwegicus	Rodentia			7.3		254		NA	1	Adult	Warncke 1908	
Rattus norvegicus	Epimys norwegicus	Rodentia			2.07		71		NA	1	Juvenile	Warncke 1908	
Rattus rattus	Mus rattus	Rodentia			1.59		200		NA	NA	NA	Count 1947 (Brummelkamp 1939b) 	
Rattus sordidus	Rattus sordidus	Rodentia			1.7		120.6666667		M&F	NA	Adult	Mace 1981	Body mass estimated from Silva & Downing 1995
Rattus sp.	Rattus bowersi	Rodentia			4.04		360.7		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Rattus sp.	Rattus cutchicus	Rodentia			1.08		50		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Rattus sp.	Rattus muelleri	Rodentia			2.91		311.6		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Rattus sp.	Rattus surifer	Rodentia			1.98		159.1		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Rattus sp.	Rattus whiteheadi	Rodentia			1.03		46.3		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Rattus tunneyi	Rattus tunneyi	Rodentia			1.41		76.2		M&F	NA	Adult	Mace 1981	"Body mass estimated from Silva & Downing 1995; Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Rattus verecundus	Rattus verecundus	Rodentia			1.48		59.4		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Ratufa affinis	Ratufa affinis	Rodentia			9.85		982.5		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Ratufa bicolor	Ratufa bicolor	Rodentia			11.01		1320		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Ratufa indica	Parasciurus indicus	Rodentia			11.4		1935		NA	1	Adult	Warncke 1908	
Ratufa indica	Parasciurus indicus	Rodentia			11.6		1010		NA	1	Adult	Warncke 1908	Emaciated
Redunca redunca	Redunca redunca tohi	Cetartiodactyla			109		31700		M	2	Not Adult	Crile & Quiring 1940	Age class estimated from body mass
Reithrodontomys megalotis	Reithrodontomys megalotis	Rodentia			0.4		10.7		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Rhabdomys pumilio	Rhabdomys pumilio	Rodentia			0.69		39.70952381		M&F	NA	Adult	Mace 1981	"Body mass estimated from Silva & Downing 1995; Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Rhinocerus sp.	Rhinocerus bicornis	Perissodactyla			655		763000		M	1	NA	Crile & Quiring 1940	
Rhinolophus hipposideros	Rhinolophus hipposideros	Chiroptera			0.16		4.6		NA	4	Adult	Pirlot & Stephan 1970	
Rhinolophus hipposideros	Rhinolophus hipposideros	Chiroptera			0.31		9.7		NA	6	Adult	Pirlot & Stephan 1970	
Rhinosciurus laticaudatus	Rhinosciurus laticaudatus	Rodentia			4.28		240		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Rhynchocyon cirnei	Rhynchocyon stuhlmanni	Macroscelidea			6.1		490		NA	2	Adult	Stephan 1981	Age class estimated from body mass
Rhynchocyon cirnei	Rhynchocyon cirnei	Macroscelidea			5.7		525		NA	1	Adult	Stolzenburg 1989	Age class estimated from body mass
Rhynchocyon petersi	Rhynchocyon petersi	Macroscelidea			5.4		370		F		Adult	Sherwood data/this study	Estimated age of species: 5y; Body mass estimated from Nowak 1991
Rhyncholestes raphanurus	Rhyncholestes raphanurus	Paucituberculata	0.65		0.6734		20		NA	1	Adult	Ashwell 2007	Age class estimated from body mass
Rhynchomeles prattorum	Rhynchomeles prattorum	Peramelemorphia	4.9		5.0764		907		NA	1	NA	Ashwell 2007	
Rhynchonycteris naso	Rhynchiscus naso	Chiroptera			0.11		4.3		NA	4	Adult	Pirlot & Stephan 1970	
Rousettus aegyptiacus	Rousettus aegyptiacus	Chiroptera			2.6		130		NA	5	Adult	Pirlot & Stephan 1970	
Rusa timorensis	Rusa rusa	Cetartiodactyla			196.8		NA		NA	1	NA	Warncke 1908	
Rusa timorensis	Rusa timoriensis	Cetartiodactyla			197.6		NA		NA	1	NA	Warncke 1908	
Rusa timorensis	Rusa timoriensis	Cetartiodactyla			164.8		NA		NA	1	Newborn	Warncke 1908	
Saccopteryx bilineata	Saccopteryx bilineata	Chiroptera			0.22		8		NA	1	Adult	Pirlot & Stephan 1970	
Saccostomus campestris	Saccostomus campestris	Rodentia			0.82		49.35		M&F	NA	Adult	Mace 1981	"Body mass estimated from Silva & Downing 1995; Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Saguinus geoffroyi	Leontocebus geoffroyi	Primates			19.9		793		M&F	8	Adult	Crile & Quiring 1940	
Saguinus geoffroyi	Leontocebus geoffroyi	Primates			24		903		M	8	Adult	Crile & Quiring 1940	
Saguinus geoffroyi	Oedipomidas geoffroyi	Primates			12.39		482		M	1	NA	Hrdlicka 1925	
Saguinus geoffroyi	Oedipomidas geoffroyi	Primates			10.62		510		M	1	NA	Hrdlicka 1925	
Saguinus geoffroyi	Oedipomidas geoffroyi	Primates			12.39		510		M	1	NA	Hrdlicka 1925	
Saguinus geoffroyi	Oedipomidas geoffroyi	Primates			44.28		NA		F	1	NA	Hrdlicka 1925	
Saguinus geoffroyi	Oedipomidas geoffroyi	Primates			8.85		453		F	1	Adult	Hrdlicka 1925	Age class estimated from body mass
Saguinus geoffroyi	Oedipomidas geoffroyi	Primates			12.39		567		F	1	Adult	Hrdlicka 1925	Age class estimated from body mass
Saguinus geoffroyi	Saguinus geoffroyi	Primates			10.5		546		M	1	Adult	Sherwood data/this study	"Estimated age of species: 15 y, 5 m; Body mass estimated from Rowe 1996"
Saguinus geoffroyi	Saguinus geoffroyi	Primates			10.0		546		M	1	Adult	Sherwood data/this study	Estimated age of species: 16y: Body mass estimated from Rowe 1996
Saguinus midas	Saguinus tamarin	Primates			10.3		340		NA	2	Not Adult	Stephan 1981	Age class estimated from body mass
Saguinus niger	Midas ursulus	Primates			24		361		F	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Saguinus niger	Midas ursulus	Primates			8.4		225		NA	1	Adult	Warncke 1908	
Saguinus oedipus	Saguinus oedipus	Primates			9.7	0.6	370	85	F	47	Adult	Bronson 1981	
Saguinus oedipus	Saguinus oedipus	Primates			9.2	0.6	370	66	M	59	Adult	Bronson 1981	
Saguinus oedipus	Saguinus oedipus	Primates			10.0		333		F	1	Adult	Sherwood data/this study	Estimated age of species: 10y; Body mass estimated from Silva & Downing 1995
Saguinus oedipus	Saguinus oedipus	Primates			10.0		411		M	1	Adult	Sherwood data/this study	Estimated age of species: 21y; Body mass estimated from Rowe 1996
Saguinus oedipus	Saguinus oedipus	Primates			10		380		NA	3	Adult	Stephan 1981	Age class estimated from body mass
Saguinus oedipus	Oedipomidas oedipus	Primates			9.4		205		NA	1	Adult	Warncke 1908	
Saguinus oedipus	Oedipomidas oedipus	Primates			9.2		221		NA	1	Adult	Warncke 1908	
Saimiri boliviensis	Saimiri boliviensis	Primates			24.1		750		F	1	Adult	Sherwood data/this study	Estimated age of species: 12y; Body mass estimated from Silva & Downing 1995
Saimiri oerstedii	Saimiri orstedii orstedii reinhardt	Primates			19.4		167		NA	2	Infant	Crile & Quiring 1940	
Saimiri oerstedii	Saimiri orstedii orstedii reinhardt	Primates			22		240		NA	2	Juvenile	Crile & Quiring 1940	
Saimiri oerstedii	Saimiri orstedii orstedii reinhardt	Primates			25.3		907		M	3	NA	Crile & Quiring 1940	
Saimiri oerstedii	Saimiri orstedii orstedii reinhardt	Primates			25		603		F	3	Adult	Crile & Quiring 1940	
Saimiri oerstedii	Saimiri orstedii orstedii reinhardt	Primates			19.9		607		M&F	60	Adult	Crile & Quiring 1940	
Saimiri sciureus	Saimiri sciureus	Primates			23.1	1.8	580	85	F	58	Adult	Bronson 1981	
Saimiri sciureus	Saimiri sciureus	Primates			25	2.4	720	150	M	32	Adult	Bronson 1981	
Saimiri sciureus	Saimiri sciurius	Primates	22.4		23.2064		NA		NA	1	NA	Haug 1987	
Saimiri sciureus	Saimiri sciureus	Primates	23.1	0.8	23.9316	0.8288	900	200	M&F	4	Adult	Rilling 1999	"3 males, 1 female; Age class estimated from body mass"
Saimiri sciureus	Saimiri sciureus	Primates			24		660		NA	1	Not adult	Stephan 1981	Age class estimated from body mass
Saimiri sciureus	Saimiris sciurea	Primates			23.5		328.5		NA	1	Adult	Warncke 1908	
Saimiri sciureus	Saimiris sciurea	Primates			21.2		365		NA	1	Adult	Warncke 1908	
Sarcophilus harrisii	Sarcophilus harrisii	Dasyuromorphia	16.09	1.4	16.66924		7430	1436	NA	34	NA	Ashwell 2007	
Scalopus aquaticus	Scalopus aquaticus	Eulipotyphla			1.16		39.6		M	1	Not Adult	Crile & Quiring 1940	Age class estimated from body mass
Scalopus aquaticus	Scalopus aquaticus	Eulipotyphla			0.57		53		NA	1	Adult	Glendenning 1998	
Scalopus aquaticus	Scalopus aquaticus	Eulipotyphla			1.48		39.6		M&F	NA	Adult	Mace 1981	
Scapanus townsendii	Scapanus townsendii	Eulipotyphla			2.02		70		M&F	NA	Adult	Mace 1981	Body mass estimated from Silva & Downing 1995
Sciurus aberti	Sciurus aberti	Rodentia			6.25		NA		M	4	NA	Crile & Quiring 1940	
Sciurus aberti	Sciurus aberti	Rodentia			6.85		626.5		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Sciurus aureogaster	Sciurus aureogaster	Rodentia			7.81		595		M&F	NA	Adult	Mace 1981	"Body mass estimated from Silva & Downing 1995; Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Sciurus carolinensis	Sciurus carolinensis	Rodentia			7.48		466		NA	NA	Adult	Count 1947 (Brummelkamp 1939b) 	Age class estimated from body mass
Sciurus carolinensis	Sciurus carolinensis	Rodentia			7.58		469		NA	NA	Adult	Count 1947 (Brummelkamp 1939b) 	Age class estimated from body mass
Sciurus carolinensis	Sciurus carolinensis	Rodentia			6.49		367		NA	1	Adult	Glendenning 1998	
Sciurus carolinensis	Sciurus carolinensis	Rodentia			7.17		574.5		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Sciurus granatensis	Sciurus gerrardi morulus	Rodentia			NA		287		NA	1	Adult	Crile & Quiring 1940	
Sciurus granatensis	Sciurus granatensis	Rodentia			5.91		400		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Sciurus niger	Sciurus rufiventer	Rodentia			8.95		580		NA	NA	Adult	Count 1947 (Brummelkamp 1939b) 	Age class estimated from body mass
Sciurus niger	Sciurus rufiventer	Rodentia			9.2		650		NA	NA	Adult	Count 1947 (Brummelkamp 1939b) 	Age class estimated from body mass
Sciurus niger	Sciurus niger	Rodentia			8.72		809.9		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Sciurus niger	Parasciurus rufiventer	Rodentia			6.9		365		NA	1	Adult	Warncke 1908	
Sciurus niger	Parasciurus rufiventer	Rodentia			6.5		365		NA	1	Adult	Warncke 1908	
Sciurus niger	Sciurus cinereus	Rodentia			7.2		328		NA	1	Adult	Warncke 1908	
Sciurus sp. 	Sciurus hudsonicus	Rodentia			4.103		159		NA	NA	NA	Count 1947 (Brummelkamp 1939b) 	
Sciurus sp. 	Sciurus hudsonicus loquax	Rodentia			4.09		63		M	1	NA	Crile & Quiring 1940	
Sciurus sp. 	Sciurus hudsonicus loquax	Rodentia			4.21		169		F	2	NA	Crile & Quiring 1940	
Sciurus sp. 	Sciurus hudsonicus	Rodentia			4.71		183		M	4	NA	Crile & Quiring 1940	
Sciurus sp. 	Sciurus hudsonicus loquax	Rodentia			3.97		183		M	1	NA	Crile & Quiring 1940	
Sciurus sp. 	Sciurus hudsonicus	Rodentia			5.02		248		F	4	NA	Crile & Quiring 1940	
Sciurus sp. 	Sciurus hudsonicus mogollonensis	Rodentia			4.3		NA		F	7	NA	Crile & Quiring 1940	
Sciurus sp. 	Sciurus hudsonicus mogollonensis	Rodentia			4.4		NA		M	7	NA	Crile & Quiring 1940	
Sciurus vulgaris	Sciurus vulgaris	Rodentia			6.1		323		NA	NA	Adult	Count 1947 (Brummelkamp 1939b) 	Age class estimated from body mass
Sciurus vulgaris	Sciurus vulgaris	Rodentia			5.75		331.8		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
