Updated Species Name (from Wilson & Reeder Mammal Species of the World)	Species Name (from original article)	Order	Brain Volume	Brain Volume Standard Deviation	Brain Mass (g)	Brain Mass Standard Deviation	Body Mass (g)	Body Mass Standard Deviation	Sex	No. Individuals	Age Class	Source	Notes
Burramys parvus	Burramys parvus	Diprotodontia	1	0.11	1.036		36.6	2.3	NA	2	Not Adult	Ashwell 2007	Age class estimated from body mass
Cabassous unicinctus	Cabossous unicinctus 	Xenarthra			23.68		3930		M	1	Adult	Pirlot & Kamiya 1983	
Caenolestes fuliginosus	Caenolestes fuliginosus	Paucituberculata	0.68		0.70448		17.9		NA	1	Not Adult	Ashwell 2007	Age class estimated from body mass
Callicebus moloch	Callicebus moloch	Primates			19		900		NA	2	Adult	Stephan 1981	Age class estimated from body mass
Callimico goeldii	Callimico goeldii	Primates			11		480		NA	1	Not Adult	Stephan 1981	Age class estimated from body mass
Callithrix jacchus	Callithrix jacchus	Primates	9.4		9.7384		NA		NA	1	NA	Haug 1987	
Callithrix jacchus	Callithrix jacchus	Primates			6.95		95		M	1	Adult	Hrdlicka 1925	
Callithrix jacchus	Jacchus vulgaris	Primates			8.5		298		F	1	Adult	Spitzka 1903	Age class estimated from body mass
Callithrix jacchus	Jacchus vulgaris	Primates			8		320		M	1	Adult	Spitzka 1903	Age class estimated from body mass
Callithrix jacchus	Jacchus vulgaris	Primates			7		105		NA	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Callithrix jacchus	Jacchus vulgaris	Primates			7		150		NA	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Callithrix jacchus	Jacchus vulgaris	Primates			7		204		M	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Callithrix jacchus	Jacchus vulgaris	Primates			9		204		NA	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Callithrix jacchus	Jacchus vulgaris	Primates			7		207		NA	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Callithrix jacchus	Jacchus vulgaris	Primates			9		270		F	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Callithrix jacchus	Callithrix jacchus	Primates			7.6		280		NA	4	Adult	Stephan 1981	Age class estimated from body mass
Callithrix jacchus	Callithrix jacchus	Primates			9		242		NA	1	Adult	Warncke 1908	
Callithrix jacchus	Callithrix jacchus	Primates			7.2		169		NA	1	Adult	Warncke 1908	
Callithrix jacchus	Callithrix jacchus	Primates			6.7		225		NA	1	Adult	Warncke 1908	
Callithrix jacchus	Callithrix jacchus	Primates			9		221		NA	1	Adult	Warncke 1908	
Callithrix jacchus	Callithrix jacchus	Primates			7.3		1550		NA	1	Adult	Warncke 1908	
Callithrix jacchus	Callithrix jacchus	Primates			7.6		187		NA	1	Adult	Warncke 1908	
Callithrix jacchus	Callithrix jacchus	Primates			7.2		235		NA	1	Adult	Warncke 1908	
Callithrix penicillata	Hapale penicillata	Primates			8		206		F	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Callithrix pygmaea	Callithrix pygmaea	Primates			4.8		129.5		F	1	Adult	Sherwood data/this study	"Estimated age of species: 11y, 3m; Body mass averaged from Silva & Downing 1995"
Callithrix pygmaea	Cebuella pygmaea	Primates			4.5		140		NA	2	Adult	Stephan 1981	Age class estimated from body mass
Callorhinus ursinus	Callorhinus ursinus	Carnivora			302.5		44750		F	1	Adult	Bininda-Emonds 2000	
Callorhinus ursinus	Callorhinus ursinus	Carnivora			335		227000		M	1	Adult	Bininda-Emonds 2000	
Callorhinus ursinus	Callorhinus ursinus	Carnivora			367		181000		M	1	Adult	Scheffer 1960	Estimated age of species: 10 yrs
Callorhinus ursinus	Callorhinus ursinus	Carnivora			198		4410		M	1	Newborn	Scheffer 1960	
Callorhinus ursinus	Callorhinus ursinus	Carnivora			347		28000		M	1	NA	Scheffer 1960	Estimated age of species: 3 yrs
Callosciurus caniceps	Callosciurus caniceps	Rodentia			6.02		240		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Callosciurus nigrovittatus	Callosciurus nigroviattatus	Rodentia			4.44		202		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Callosciurus notatus	Callosciurus notatus	Rodentia			4.91		209.5		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Callosciurus prevostii	Callosciurus prevostii	Rodentia			6.52		439		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Caluromys derbianus	Caluromys derbianus	Didelphimorphia	3.4		3.5224		289		NA	1	Adult	Ashwell 2007	Age class estimated from body mass
Caluromys lanatus	Philander laniger	Didelphimorphia			3.1		384		NA	1	Adult	Warncke 1908	Age class estimated from body mass
Caluromys philander	Caluromys philander	Didelphimorphia	3.5		3.626		277		NA	1	Adult	Ashwell 2007	Age class estimated from body mass
Canis latrans	Canis latrans	Carnivora			84.24		8510		F	1	Not Adult	Crile & Quiring 1940	Age class estimated from body mass
Canis latrans	Canis latrans	Carnivora			80		NA		F	1	NA	Crile & Quiring 1940	
Canis latrans	Canis latrans	Carnivora	85		88.06		NA		NA	1	NA	Haug 1987	
Canis lupus	Canis lupus lupus	Carnivora			119		22680		M	1	Not Adult	Crile & Quiring 1940	Age class estimated from body mass
Canis mesomelas	Thos mesomelas	Carnivora			46		2850		M	2	Not Adult	Crile & Quiring 1940	Age class estimated from body mass
Canis mesomelas	Thous mesomelas	Carnivora			54.8		8000		NA	1	Adult	Warncke 1908	Age class estimated from body mass
Canis sp. 	Canis lubilus	Carnivora			152		29940		M	1	NA	Crile & Quiring 1940	
Capra hircus	Capra hirous	Cetartiodactyla			115		27660		M	1	NA	Crile & Quiring 1940	
Capra hircus	Capra hircus	Cetartiodactyla			130.6		NA		NA	1	Adult	Warncke 1908	
Capra hircus	Capra hircus	Cetartiodactyla			85.8		NA		NA	1	NA	Warncke 1908	
Capra hircus	Capra hircus	Cetartiodactyla			71.5		NA		NA	1	NA	Warncke 1908	
Capra hircus	Capra hircus	Cetartiodactyla			72		NA		NA	1	Infant	Warncke 1908	Estimated age of species: 2 days
Capra hircus	Capra hircus	Cetartiodactyla			61.2		2175		NA	1	Newborn	Warncke 1908	
Capra hircus	Capra hircus	Cetartiodactyla			59.2		2315		NA	1	Infant	Warncke 1908	Estimated age of species: 10 days
Capra hircus	Capra hircus	Cetartiodactyla			70		NA		NA	1	Juvenile	Warncke 1908	Estimated age of species 0.5 yrs
